name,listening count,Z-score
Britney Spears,2393140,70.06634316443484
Depeche Mode,1301308,38.04719197059125
Lady Gaga,1291387,37.75624794349356
Christina Aguilera,1058405,30.923799468413083
Paramore,963449,28.139112336361066
Madonna,921198,26.900056183865917
Rihanna,905423,26.437437291872566
Shakira,688529,20.076786771428473
The Beatles,662116,19.302197053886772
Katy Perry,532545,15.502387706535249
Avril Lavigne,525844,15.305873652953798
Taylor Swift,525292,15.289685657493871
Evanescence,513476,14.943168711199519
Glee Cast,506453,14.737211660266441
Beyoncé,499318,14.527970088515408
U2,493024,14.343391748977776
Miley Cyrus,489065,14.22728980327878
30 Seconds to Mars,485532,14.123680767119508
Muse,485076,14.11030807521783
Pink Floyd,466104,13.553933709519077
Kylie Minogue,449292,13.060903673880903
Radiohead,385306,11.184445200151176
Ke$ha,384405,11.158022403213868
Mariah Carey,384307,11.155148447498158
Metallica,371916,10.791769005933048
Iron Maiden,368710,10.69774959751906
Thalía,350035,10.150085077203636
Duran Duran,348919,10.117357173339004
Coldplay,330757,9.584736931412968
Eminem,321011,9.298924968093337
Blur,318221,9.217105208431756
Michael Jackson,296882,8.591316014374952
Arctic Monkeys,288520,8.346091344020062
System of a Down,277397,8.019897370286811
Linkin Park,265362,7.666958012750204
Kelly Clarkson,253027,7.305220831594073
Pearl Jam,251440,7.258680344646787
Placebo,245878,7.095568694740796
In Flames,237148,6.839552027412622
All Time Low,215777,6.212824398836402
Amy Winehouse,213103,6.134406464307703
P!nk,207761,5.977746551722697
a-ha,205195,5.902495833697027
Led Zeppelin,203665,5.857626933237451
Björk,202178,5.814019054163339
Avenged Sevenfold,200949,5.777977303402019
Justin Bieber,200027,5.750938658811346
The Killers,191979,5.514922377178225
Nirvana,190232,5.463689717633859
Black Eyed Peas,188634,5.416826643820523
Daft Punk,176043,5.047581986509064
Ashley Tisdale,166644,4.77194617250935
Oasis,165975,4.752327025837809
Leona Lewis,162288,4.644201773553848
Nine Inch Nails,160317,4.5864000723735705
My Chemical Romance,159733,4.569273642394228
Green Day,155321,4.43988698302975
Backstreet Boys,153101,4.374783088245265
The Cure,151103,4.31618958293923
Kings of Leon,148452,4.238446148221361
Jennifer Lopez,144710,4.128707961607154
Demi Lovato,139378,3.9723413098094658
The Pretty Reckless,138049,3.9333669511749707
Sarah Brightman,137581,3.9196423463285117
Sigur Rós,133955,3.813305984847188
Guns N' Roses,133931,3.8126021589576258
David Bowie,133511,3.800285205890291
Black Sabbath,131397,3.7382898754513727
The Pussycat Dolls,130855,3.7223951407787643
The Strokes,130227,3.7039783633352257
Rammstein,129745,3.689843193386522
Lily Allen,129352,3.6783180444449446
Carrie Underwood,126314,3.5892254172578895
Hilary Duff,123682,3.5120391780359244
Janet Jackson,120665,3.423562398502236
Panic! At the Disco,120336,3.4139141185994903
Alanis Morissette,117229,3.3227979919799444
Red Hot Chili Peppers,116768,3.309278669684608
Adam Lambert,115538,3.273207592844556
The Veronicas,114690,3.2483390780800323
Queen,114505,3.242913753514659
Bright Eyes,113631,3.2172827607031094
Florence + the Machine,113467,3.2124732837911028
Nelly Furtado,110218,3.1171928539916482
Selena Gomez & the Scene,110123,3.114406876512132
